,Name,Price,Location,Year,Mileage,Fuel_Type,Engine_Capacity,Transmission
0,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
1,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
2,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
3,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
5,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
6,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
7,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
8,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
9,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
10,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
11,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
12,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
13,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
14,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
15,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
16,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
17,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
